salesID,lastSalePrice,lastSaleDate
267,0.0,2003-03-10T00:00:00.000Z
268,0.0,2019-01-08T00:00:00.000Z
269,299700.0,2022-04-15T00:00:00.000Z
270,0.0,2019-08-15T00:00:00.000Z
271,309900.0,2021-01-21T00:00:00.000Z
272,142500.0,2011-12-12T00:00:00.000Z
273,425000.0,2022-01-11T00:00:00.000Z
274,430000.0,2023-07-10T00:00:00.000Z
275,0.0,2001-06-29T00:00:00.000Z
276,260000.0,2020-05-22T00:00:00.000Z
277,292000.0,2015-09-04T00:00:00.000Z
278,9000.0,2020-02-12T00:00:00.000Z
279,129000.0,2021-12-22T00:00:00.000Z
280,160000.0,1997-10-30T00:00:00.000Z
281,134500.0,2018-07-19T00:00:00.000Z
282,650000.0,2021-10-12T00:00:00.000Z
283,125700.0,1990-03-30T00:00:00.000Z
284,454000.0,2022-07-28T00:00:00.000Z
285,320000.0,2023-03-29T00:00:00.000Z
286,10001.0,2009-09-29T00:00:00.000Z
287,0.0,2010-03-10T00:00:00.000Z
288,0.0,2017-02-07T00:00:00.000Z
289,217000.0,2020-04-13T00:00:00.000Z
290,800.0,1977-03-15T00:00:00.000Z
291,0.0,2002-02-04T00:00:00.000Z
292,330000.0,2017-08-31T00:00:00.000Z
293,103000.0,2010-06-01T00:00:00.000Z
294,155000.0,2005-10-14T00:00:00.000Z
295,295900.0,1999-09-14T00:00:00.000Z
296,273000.0,2016-11-10T00:00:00.000Z
297,0.0,2024-04-01T00:00:00.000Z
298,250000.0,2020-11-30T00:00:00.000Z
299,212900.0,2015-10-08T00:00:00.000Z
300,189000.0,2005-01-21T00:00:00.000Z
301,253000.0,2021-02-03T00:00:00.000Z
302,456000.0,1996-11-19T00:00:00.000Z
303,192840.0,2006-03-22T00:00:00.000Z
304,134500.0,2002-08-14T00:00:00.000Z
305,200000.0,2023-08-18T00:00:00.000Z
306,130000.0,2013-10-10T00:00:00.000Z
307,0.0,2016-01-26T00:00:00.000Z
308,80000.0,2024-09-03T00:00:00.000Z
309,125000.0,2009-06-01T00:00:00.000Z
310,228000.0,2017-07-21T00:00:00.000Z
311,330000.0,2021-07-27T00:00:00.000Z
312,125950.0,1998-10-30T00:00:00.000Z
313,1034000.0,2022-02-18T00:00:00.000Z
314,729007.0,2006-11-28T00:00:00.000Z
315,227000.0,1997-01-08T00:00:00.000Z
316,169500.0,1992-11-30T00:00:00.000Z
317,276100.0,2021-09-09T00:00:00.000Z
318,387000.0,2023-07-21T00:00:00.000Z
319,40000.0,2010-02-03T00:00:00.000Z
